# NIRCam alignment parameter reference file for SIAF
# 
# This file contains the focal plane alignment parameters of master apertures calibrated
# during FGS-SI alignment.
# 
# Generated 2022-02-26
# by tsohn, sosborne
# 
                      AperName ,  V3IdlYAngle          ,  V3SciXAngle       ,  V3SciYAngle          ,  V2Ref               ,  V3Ref
                    NRCA1_FULL , -0.57873665133359     , -90.53134882031526 , -0.57873665133359     ,  120.721931          , -527.481271
                    NRCA2_FULL , -0.21514994419897     , -90.27290447960130 , -0.21514994419897     ,  119.868749          , -459.768346
                    NRCA3_FULL ,  0.26908435076021     , -89.97295632651311 ,  0.26908435076021     ,   52.105905          , -527.926746
                    NRCA4_FULL ,  0.07724494251523     , -89.97132754830838 ,  0.07724494251523     ,   52.495020          , -459.899830
                    NRCA5_FULL , -0.07436147784329     , -90.15744078447197 , -0.07436147784329     ,   86.077630          , -493.386939
                    NRCB1_FULL ,  0.28424494595116     , -89.65541614553065 ,  0.28424494595116     , -122.436754          , -457.571697
                    NRCB2_FULL ,  0.81935904931728     , -89.21542196700719 ,  0.81935904931728     , -122.673335          , -525.286255
                    NRCB3_FULL , -0.48866820133394     , -90.45063505849198 , -0.48866820133394     ,  -54.629507          , -457.552694
                    NRCB4_FULL , -0.36941910941110     , -90.13030203508283 , -0.36941910941110     ,  -54.386077          , -525.476157
                    NRCB5_FULL , -0.00022291039643     , -89.92326361926673 , -0.00022291039643     ,  -89.282996          , -491.293660
          NRCA1_FULL_WEDGE_RND , -0.31530140733718975  , -90.53215280527992 , -0.31530140733718975  ,  118.49115769992958  , -487.86020679352054
          NRCA2_FULL_WEDGE_RND ,  0.019681693315192206 , -90.29506207769434 ,  0.019681693315192206 ,  117.83605506925198  , -420.60541578873135
          NRCA3_FULL_WEDGE_RND ,  0.3131004083235197   , -89.66498456655522 ,  0.3131004083235197   ,   50.36459004257623  , -488.0971375911371
          NRCA4_FULL_WEDGE_RND ,  0.0945236036052961   , -89.6245212836448  ,  0.0945236036052961   ,   50.75004971449798  , -420.5298709018542
          NRCA5_FULL_WEDGE_RND ,  0.07972513131442692  , -89.97025362373762 ,  0.07972513131442692  ,   84.04318625535374  , -445.8353604623121
          NRCA1_FULL_WEDGE_BAR , -0.3158606921409073   , -90.53337854515202 , -0.3158606921409073   ,  118.62903716639285  , -487.5032194316835
          NRCA2_FULL_WEDGE_BAR ,  0.02066329620291185  , -90.29715700418119 ,  0.02066329620291185  ,  117.97423925630933  , -420.25259533891425
          NRCA3_FULL_WEDGE_BAR ,  0.3127351394415406   , -89.66341790620005 ,  0.3127351394415406   ,   50.505987427633504 , -487.73990627189436
          NRCA4_FULL_WEDGE_BAR ,  0.09340422760297429  , -89.62339197838267 ,  0.09340422760297429  ,   50.89042364433156  , -420.17757676526854
          NRCA5_FULL_WEDGE_BAR ,  0.08003816705043647  , -89.96885346500741 ,  0.08003816705043647  ,   83.76637895705411  , -446.43298384577894
